Year,Week_Number,mean_return,volatility,Abs_Diff,Classification
2018,0,0.38875,0.4145788023202987,0.0,GREEN
2018,1,0.15219999999999997,1.1035002038966735,0.7400000000000091,GREEN
2018,2,0.9135000000000001,1.0299545297406743,3.719999999999999,GREEN
2018,3,0.718,0.6513459142421943,3.799999999999997,GREEN
2018,4,-0.7277999999999999,1.043326746518079,3.9099999999999966,RED
2018,5,-0.9724,2.515748854715033,5.109999999999999,RED
2018,6,1.0672000000000001,0.5972157901462418,5.409999999999997,RED
2018,7,-2.86,5.1778756905382215,11.89,RED
2018,8,-0.9002000000000001,0.8473371229917877,4.1200000000000045,RED
2018,9,-0.005200000000000005,1.2215325210570531,0.04999999999999716,GREEN
2018,10,0.10579999999999998,1.082809863272403,0.45000000000000284,GREEN
2018,11,-0.8496,1.203586847718103,3.75,GREEN
2018,12,1.036,1.8480963178362755,3.549999999999997,GREEN
2018,13,-0.49959999999999993,2.12012459539528,2.280000000000001,GREEN
2018,14,-0.1538,0.5755112509760343,0.6700000000000017,GREEN
2018,15,0.22579999999999995,0.93396959265278,0.960000000000008,GREEN
2018,16,0.07419999999999997,0.8830383343887171,0.3100000000000023,GREEN
2018,17,0.06200000000000001,1.3203899045357776,0.23999999999999488,GREEN
2018,18,-0.9548000000000002,1.713454609845268,4.150000000000006,RED
2018,19,0.07200000000000002,1.559695002236014,0.2600000000000051,RED
2018,20,-0.28099999999999997,0.8591143695690348,1.1800000000000068,RED
2018,21,0.1702500000000001,1.640006783522556,0.5300000000000011,RED
2018,22,0.3372,1.54783888050404,1.3700000000000045,RED
2018,23,-0.1568,0.139033089586616,0.6599999999999966,RED
2018,24,0.2682,0.6926696182163615,1.1199999999999903,RED
2018,25,0.20119999999999996,1.2733539178091848,0.8300000000000125,RED
2018,26,-0.32975,1.0920727616174055,1.1400000000000006,RED
2018,27,0.7484,1.0852450414537724,3.1899999999999977,RED
2018,28,0.083,0.4156958022400515,0.35999999999999943,GREEN
2018,29,0.0166,0.3663718056837889,0.06999999999999318,GREEN
2018,30,0.3342,0.8355696859029771,1.4699999999999989,GREEN
2018,31,0.1322,0.8788072598698762,0.5800000000000125,GREEN
2018,32,1.718,4.348862494951985,7.6699999999999875,GREEN
2018,33,-0.5978,0.7581198454070438,2.8999999999999915,RED
2018,34,0.19380000000000006,0.881946823793816,0.9099999999999966,RED
2018,35,-0.0050000000000000044,0.905878947026956,0.030000000000001137,RED
2018,36,-0.25739999999999996,0.8005830999964962,1.2399999999999949,RED
2018,37,0.2758,0.3326577821124887,1.3100000000000023,RED
2018,38,-0.4176,0.4435321859797776,1.990000000000009,RED
2018,39,-0.12499999999999997,0.8728181368418051,0.5999999999999943,RED
2018,40,0.33399999999999996,1.8999198667312263,1.5,RED
2018,41,0.49499999999999994,1.242791012197948,2.3400000000000034,RED
2018,42,0.3686,0.815371265130186,1.789999999999992,RED
2018,43,0.492,1.6926550150577053,2.4000000000000057,RED
2018,44,0.82,0.4554947859196634,4.219999999999999,RED
2018,45,-1.5370000000000001,0.42625168621367354,7.8700000000000045,RED
2018,46,-0.6599999999999999,1.5737786799081162,2.5900000000000034,RED
2018,47,0.5357999999999999,1.1434759289114922,2.5500000000000114,RED
2018,48,-1.15075,1.7116869602821654,4.460000000000008,RED
2018,49,-0.2868,0.7613262769667155,1.3400000000000034,RED
2018,50,-1.0398,1.541237230279622,4.719999999999999,RED
2018,51,1.43475,2.868229113930754,5.0,RED
2018,52,1.107,0.0,1.0200000000000102,RED
2019,0,0.10499999999999998,0.575917528818146,0.28999999999999204,RED
2019,1,0.2994,0.6228882724855237,1.4000000000000057,RED
2019,2,0.6034,0.5675670004501671,2.8900000000000006,RED
2019,3,-0.1985,1.1074097404905436,0.7900000000000063,RED
2019,4,-0.6364000000000001,1.3627022051791067,3.0799999999999983,RED
2019,5,0.3678,0.9678554644160459,1.7199999999999989,RED
2019,6,0.9065999999999999,0.36335629896838173,4.409999999999997,RED
2019,7,-0.0975,1.8498627877043565,0.4399999999999977,RED
2019,8,-0.3256,0.7318294200153476,1.6199999999999903,GREEN
2019,9,-0.06839999999999999,0.4849240146662155,0.3400000000000034,GREEN
2019,10,0.17140000000000002,0.6816119130414315,0.8299999999999983,GREEN
2019,11,-0.024399999999999998,0.9862673572617112,0.14000000000000057,GREEN
2019,12,-0.15160000000000004,0.5856938620132535,0.75,GREEN
2019,13,0.2672,0.7147305086534366,1.2999999999999972,RED
2019,14,0.5484,0.6758093666116208,2.730000000000004,RED
2019,15,0.39675,0.3619579855913298,1.6200000000000045,RED
2019,16,-0.3174,1.0575286284540952,1.6500000000000057,RED
2019,17,0.1126,1.0586828136887838,0.5499999999999972,RED
2019,18,-0.024800000000000023,1.469236774655467,0.1700000000000017,GREEN
2019,19,-0.20059999999999997,1.2552054811862476,1.0499999999999972,GREEN
2019,20,0.3582,0.6910298112237995,1.8100000000000023,GREEN
2019,21,-0.30025,0.33056252560345273,1.230000000000004,GREEN
2019,22,0.8960000000000001,0.5337522833674814,4.6200000000000045,GREEN
2019,23,0.5628,0.570881073429484,3.009999999999991,GREEN
2019,24,0.37560000000000004,0.3357525874807222,2.0600000000000023,GREEN
2019,25,-0.11480000000000001,0.3695479671165842,0.6400000000000006,GREEN
2019,26,0.3365,0.5334869570414382,1.490000000000009,GREEN
2019,27,0.46419999999999995,0.3302388529534343,2.6199999999999903,GREEN
2019,28,-0.1216,0.39190024240870275,0.6999999999999886,RED
2019,29,-0.15320000000000003,0.6620322499697429,0.8800000000000097,RED
2019,30,-0.6476000000000001,0.6014767659685618,3.6199999999999903,RED
2019,31,-0.37639999999999996,1.8721814281740967,2.1200000000000045,RED
2019,32,1.0821999999999998,3.1955587461350166,5.709999999999994,RED
2019,33,-0.382,0.8844673538350638,2.1599999999999966,RED
2019,34,0.6126,0.4796804144427829,3.430000000000007,RED
2019,35,0.10525000000000001,0.7824092599145285,0.46999999999999886,RED
2019,36,0.46799999999999997,0.6522909626845983,2.700000000000003,RED
2019,37,-0.0734,0.9312117374689819,0.45000000000000284,RED
2019,38,0.2506,0.3408941184590899,1.4699999999999989,RED
2019,39,-0.04359999999999999,1.1434523601794697,0.29000000000000625,RED
2019,40,0.3518,0.7093607685797122,2.0799999999999983,RED
2019,41,-0.1824,0.5455225018273765,1.0999999999999943,RED
2019,42,-0.0162,0.29736543175022884,0.09999999999999432,RED
2019,43,-0.23559999999999998,1.002054289946408,1.4200000000000017,RED
2019,44,0.30920000000000003,0.6748423519608117,1.8199999999999932,RED
2019,45,-0.09100000000000001,1.0911214414536998,0.5699999999999932,RED
2019,46,0.08480000000000001,0.7669714466653892,0.4899999999999949,RED
2019,47,-0.056249999999999994,0.35713617850898277,0.269999999999996,RED
2019,48,0.11699999999999999,0.5268600383403547,0.6899999999999977,RED
2019,49,0.08580000000000002,0.4297507417096566,0.5100000000000051,RED
2019,50,0.0019999999999999797,0.6811684813612562,0.0,RED
2019,51,-0.14425,0.6268787096932441,0.7000000000000028,RED
2019,52,-0.314,0.21920310216782973,0.75,RED
